[s],CH3[V]
9.2200E-05,-5.71211E-02
9.2300E-05,-5.38477E-02
9.2400E-05,-5.08633E-02
9.2500E-05,-4.78711E-02
9.2600E-05,-4.45742E-02
9.2700E-05,-4.14102E-02
9.2800E-05,-3.81367E-02
9.2900E-05,-3.49336E-02
9.3000E-05,-3.16992E-02
9.3100E-05,-2.82305E-02
9.3200E-05,-2.52227E-02
9.3300E-05,-2.19258E-02
9.3400E-05,-1.84570E-02
9.3500E-05,-1.51133E-02
9.3600E-05,-1.17852E-02
9.3700E-05,-8.29297E-03
9.3800E-05,-4.98047E-03
9.3900E-05,-1.67578E-03
9.4000E-05,1.88672E-03
9.4100E-05,5.62109E-03
9.4200E-05,8.73047E-03
9.4300E-05,1.19727E-02
9.4400E-05,1.54102E-02
9.4500E-05,1.87695E-02
9.4600E-05,2.21602E-02
9.4700E-05,2.50586E-02
9.4800E-05,2.83633E-02
9.4900E-05,3.11055E-02
9.5000E-05,3.43398E-02
9.5100E-05,3.74492E-02
9.5200E-05,4.01914E-02
9.5300E-05,4.30820E-02
9.5400E-05,4.57617E-02
9.5500E-05,4.83789E-02
9.5600E-05,5.13555E-02
9.5700E-05,5.38398E-02
9.5800E-05,5.65664E-02
9.5900E-05,5.92070E-02
9.6000E-05,6.14492E-02
9.6100E-05,6.39336E-02
9.6200E-05,6.62148E-02
9.6300E-05,6.86211E-02
9.6400E-05,7.08633E-02
9.6500E-05,7.30898E-02
9.6600E-05,7.49883E-02
9.6700E-05,7.73555E-02
9.6800E-05,7.92461E-02
9.6900E-05,8.09414E-02
9.7000E-05,8.28086E-02
9.7100E-05,8.46758E-02
9.7200E-05,8.58242E-02
9.7300E-05,8.76445E-02
9.7400E-05,8.89492E-02
9.7500E-05,9.04180E-02
9.7600E-05,9.14883E-02
9.7700E-05,9.26211E-02
9.7800E-05,9.35586E-02
9.7900E-05,9.45195E-02
9.8000E-05,9.52383E-02
9.8100E-05,9.59961E-02
9.8200E-05,9.63398E-02
9.8300E-05,9.70820E-02
9.8400E-05,9.74102E-02
