[s],CH2[V],CH3[V]
2.5530E-03,4.51953E-01,1.64922E-02
2.5630E-03,5.42578E-01,2.22266E-02
2.5731E-03,6.00391E-01,2.81328E-02
2.5832E-03,6.49609E-01,3.45859E-02
2.5933E-03,7.30078E-01,4.15234E-02
2.6034E-03,8.02734E-01,4.84297E-02
2.6134E-03,8.97266E-01,5.68984E-02
2.6235E-03,9.87891E-01,6.41641E-02
2.6336E-03,1.07070E+00,7.24766E-02
2.6437E-03,1.17773E+00,8.26797E-02
2.6538E-03,1.26836E+00,9.11172E-02
2.6638E-03,1.38555E+00,1.01195E-01
2.6739E-03,1.50352E+00,1.11852E-01
2.6840E-03,1.63242E+00,1.22102E-01
2.6941E-03,1.75352E+00,1.31383E-01
2.7042E-03,1.87227E+00,1.42242E-01
2.7142E-03,2.00117E+00,1.52820E-01
2.7243E-03,2.12617E+00,1.62758E-01
2.7344E-03,2.26133E+00,1.74102E-01
2.7445E-03,2.39023E+00,1.84352E-01
2.7546E-03,2.51836E+00,1.94508E-01
2.7646E-03,2.65352E+00,2.04273E-01
2.7747E-03,2.79648E+00,2.14273E-01
2.7848E-03,2.93398E+00,2.24367E-01
2.7949E-03,3.06289E+00,2.33664E-01
2.8050E-03,3.17930E+00,2.41367E-01
2.8150E-03,3.30664E+00,2.50602E-01
2.8251E-03,3.43242E+00,2.59367E-01
2.8352E-03,3.53945E+00,2.67305E-01
2.8453E-03,3.65742E+00,2.73883E-01
2.8554E-03,3.75273E+00,2.79508E-01
2.8654E-03,3.86523E+00,2.85523E-01
2.8755E-03,3.95508E+00,2.90805E-01
2.8856E-03,4.05742E+00,2.95242E-01
2.8957E-03,4.14023E+00,2.99789E-01
2.9058E-03,4.21836E+00,3.02945E-01
2.9158E-03,4.28945E+00,3.04445E-01
2.9259E-03,4.36367E+00,3.06211E-01
2.9360E-03,4.41445E+00,3.06664E-01
2.9461E-03,4.47148E+00,3.07102E-01
2.9562E-03,4.50977E+00,3.07539E-01
2.9662E-03,4.55039E+00,3.06742E-01
2.9763E-03,4.57617E+00,3.04633E-01
2.9864E-03,4.61289E+00,3.02414E-01
2.9965E-03,4.62305E+00,2.98820E-01
3.0066E-03,4.61680E+00,2.94320E-01
3.0166E-03,4.60820E+00,2.88773E-01
3.0267E-03,4.59258E+00,2.84070E-01
3.0368E-03,4.57383E+00,2.77570E-01
3.0469E-03,4.55977E+00,2.72523E-01
3.0570E-03,4.52539E+00,2.65305E-01
3.0670E-03,4.47461E+00,2.56820E-01
3.0771E-03,4.42461E+00,2.48758E-01
3.0872E-03,4.37383E+00,2.40758E-01
3.0973E-03,4.31133E+00,2.31992E-01
3.1074E-03,4.23711E+00,2.23211E-01
3.1174E-03,4.16289E+00,2.13680E-01
3.1275E-03,4.09414E+00,2.04242E-01
3.1376E-03,4.00117E+00,1.94836E-01
3.1477E-03,3.90664E+00,1.84133E-01
3.1578E-03,3.79961E+00,1.73695E-01
3.1678E-03,3.69414E+00,1.64414E-01
3.1779E-03,3.58164E+00,1.53914E-01
3.1880E-03,3.48242E+00,1.43258E-01
3.1981E-03,3.36914E+00,1.33867E-01
3.2082E-03,3.26211E+00,1.23617E-01
3.2182E-03,3.12930E+00,1.14195E-01
3.2283E-03,2.99805E+00,1.04445E-01
3.2384E-03,2.89180E+00,9.55234E-02
3.2485E-03,2.75977E+00,8.70078E-02
3.2586E-03,2.61836E+00,7.93359E-02
3.2686E-03,2.47773E+00,7.08203E-02
3.2787E-03,2.35820E+00,6.27109E-02
3.2888E-03,2.23945E+00,5.44766E-02
3.2989E-03,2.11289E+00,4.70391E-02
3.3090E-03,1.99492E+00,4.04609E-02
3.3190E-03,1.87461E+00,3.50234E-02
3.3291E-03,1.75508E+00,3.01016E-02
3.3392E-03,1.63242E+00,2.48828E-02
3.3493E-03,1.51055E+00,1.94766E-02
3.3594E-03,1.39570E+00,1.51641E-02
3.3694E-03,1.29961E+00,1.13672E-02
3.3795E-03,1.20820E+00,8.14844E-03
3.3896E-03,1.11289E+00,5.49219E-03
3.3997E-03,1.01914E+00,3.97656E-03
3.4098E-03,9.29297E-01,1.24219E-03
3.4198E-03,8.25391E-01,-1.85156E-03
3.4299E-03,7.55859E-01,-3.58594E-03
3.4400E-03,6.71484E-01,-4.69531E-03
3.4501E-03,6.03516E-01,-5.52344E-03
